title,authors,published,summary,url
System 2 reasoning capabilities are nigh,Scott C. Lowe,2024-10-04,"In recent years, machine learning models have made strides towards human-like
reasoning capabilities from several directions. In this work, we review the
current state of the literature and describe the remaining steps to achieve a
neural model which can perform System 2 reasoning analogous to a human. We
argue that if current models are insufficient to be classed as performing
reasoning, there remains very little additional progress needed to attain that
goal.",http://arxiv.org/pdf/2410.03662v1
Geometric Representation Condition Improves Equivariant Molecule Generation,"Zian Li, Cai Zhou, Xiyuan Wang, Xingang Peng, Muhan Zhang",2024-10-04,"Recent advancements in molecular generative models have demonstrated
substantial potential in accelerating scientific discovery, particularly in
drug design. However, these models often face challenges in generating
high-quality molecules, especially in conditional scenarios where specific
molecular properties must be satisfied. In this work, we introduce GeoRCG, a
general framework to enhance the performance of molecular generative models by
integrating geometric representation conditions. We decompose the molecule
generation process into two stages: first, generating an informative geometric
representation; second, generating a molecule conditioned on the
representation. Compared to directly generating a molecule, the relatively
easy-to-generate representation in the first-stage guides the second-stage
generation to reach a high-quality molecule in a more goal-oriented and much
faster way. Leveraging EDM as the base generator, we observe significant
quality improvements in unconditional molecule generation on the widely-used
QM9 and GEOM-DRUG datasets. More notably, in the challenging conditional
molecular generation task, our framework achieves an average 31\% performance
improvement over state-of-the-art approaches, highlighting the superiority of
conditioning on semantically rich geometric representations over conditioning
on individual property values as in previous approaches. Furthermore, we show
that, with such representation guidance, the number of diffusion steps can be
reduced to as small as 100 while maintaining superior generation quality than
that achieved with 1,000 steps, thereby significantly accelerating the
generation process.",http://arxiv.org/pdf/2410.03655v1
GenSim2: Scaling Robot Data Generation with Multi-modal and Reasoning LLMs,"Pu Hua, Minghuan Liu, Annabella Macaluso, Yunfeng Lin, Weinan Zhang, Huazhe Xu, Lirui Wang",2024-10-04,"Robotic simulation today remains challenging to scale up due to the human
efforts required to create diverse simulation tasks and scenes.
Simulation-trained policies also face scalability issues as many sim-to-real
methods focus on a single task. To address these challenges, this work proposes
GenSim2, a scalable framework that leverages coding LLMs with multi-modal and
reasoning capabilities for complex and realistic simulation task creation,
including long-horizon tasks with articulated objects. To automatically
generate demonstration data for these tasks at scale, we propose planning and
RL solvers that generalize within object categories. The pipeline can generate
data for up to 100 articulated tasks with 200 objects and reduce the required
human efforts. To utilize such data, we propose an effective multi-task
language-conditioned policy architecture, dubbed proprioceptive point-cloud
transformer (PPT), that learns from the generated demonstrations and exhibits
strong sim-to-real zero-shot transfer. Combining the proposed pipeline and the
policy architecture, we show a promising usage of GenSim2 that the generated
data can be used for zero-shot transfer or co-train with real-world collected
data, which enhances the policy performance by 20% compared with training
exclusively on limited real data.",http://arxiv.org/pdf/2410.03645v1
What Matters for Model Merging at Scale?,"Prateek Yadav, Tu Vu, Jonathan Lai, Alexandra Chronopoulou, Manaal Faruqui, Mohit Bansal, Tsendsuren Munkhdalai",2024-10-04,"Model merging aims to combine multiple expert models into a more capable
single model, offering benefits such as reduced storage and serving costs,
improved generalization, and support for decentralized model development.
Despite its promise, previous studies have primarily focused on merging a few
small models. This leaves many unanswered questions about the effect of scaling
model size and how it interplays with other key factors -- like the base model
quality and number of expert models -- , to affect the merged model's
performance. This work systematically evaluates the utility of model merging at
scale, examining the impact of these different factors. We experiment with
merging fully fine-tuned models using 4 popular merging methods -- Averaging,
Task~Arithmetic, Dare, and TIES -- across model sizes ranging from 1B-64B
parameters and merging up to 8 different expert models. We evaluate the merged
models on both held-in tasks, i.e., the expert's training tasks, and zero-shot
generalization to unseen held-out tasks. Our experiments provide several new
insights about model merging at scale and the interplay between different
factors. First, we find that merging is more effective when experts are created
from strong base models, i.e., models with good zero-shot performance. Second,
larger models facilitate easier merging. Third merging consistently improves
generalization capabilities. Notably, when merging 8 large expert models, the
merged models often generalize better compared to the multitask trained models.
Fourth, we can better merge more expert models when working with larger models.
Fifth, different merging methods behave very similarly at larger scales.
Overall, our findings shed light on some interesting properties of model
merging while also highlighting some limitations. We hope that this study will
serve as a reference point on large-scale merging for upcoming research.",http://arxiv.org/pdf/2410.03617v1
TICKing All the Boxes: Generated Checklists Improve LLM Evaluation and Generation,"Jonathan Cook, Tim Rocktäschel, Jakob Foerster, Dennis Aumiller, Alex Wang",2024-10-04,"Given the widespread adoption and usage of Large Language Models (LLMs), it
is crucial to have flexible and interpretable evaluations of their
instruction-following ability. Preference judgments between model outputs have
become the de facto evaluation standard, despite distilling complex,
multi-faceted preferences into a single ranking. Furthermore, as human
annotation is slow and costly, LLMs are increasingly used to make these
judgments, at the expense of reliability and interpretability. In this work, we
propose TICK (Targeted Instruct-evaluation with ChecKlists), a fully automated,
interpretable evaluation protocol that structures evaluations with
LLM-generated, instruction-specific checklists. We first show that, given an
instruction, LLMs can reliably produce high-quality, tailored evaluation
checklists that decompose the instruction into a series of YES/NO questions.
Each question asks whether a candidate response meets a specific requirement of
the instruction. We demonstrate that using TICK leads to a significant increase
(46.4% $\to$ 52.2%) in the frequency of exact agreements between LLM judgements
and human preferences, as compared to having an LLM directly score an output.
We then show that STICK (Self-TICK) can be used to improve generation quality
across multiple benchmarks via self-refinement and Best-of-N selection. STICK
self-refinement on LiveBench reasoning tasks leads to an absolute gain of
$+$7.8%, whilst Best-of-N selection with STICK attains $+$6.3% absolute
improvement on the real-world instruction dataset, WildBench. In light of this,
structured, multi-faceted self-improvement is shown to be a promising way to
further advance LLM capabilities. Finally, by providing LLM-generated
checklists to human evaluators tasked with directly scoring LLM responses to
WildBench instructions, we notably increase inter-annotator agreement (0.194
$\to$ 0.256).",http://arxiv.org/pdf/2410.03608v1
Understanding Reasoning in Chain-of-Thought from the Hopfieldian View,"Lijie Hu, Liang Liu, Shu Yang, Xin Chen, Zhen Tan, Muhammad Asif Ali, Mengdi Li, Di Wang",2024-10-04,"Large Language Models have demonstrated remarkable abilities across various
tasks, with Chain-of-Thought (CoT) prompting emerging as a key technique to
enhance reasoning capabilities. However, existing research primarily focuses on
improving performance, lacking a comprehensive framework to explain and
understand the fundamental factors behind CoT's success. To bridge this gap, we
introduce a novel perspective grounded in the Hopfieldian view of cognition in
cognitive neuroscience. We establish a connection between CoT reasoning and key
cognitive elements such as stimuli, actions, neural populations, and
representation spaces. From our view, we can understand the reasoning process
as the movement between these representation spaces. Building on this insight,
we develop a method for localizing reasoning errors in the response of CoTs.
Moreover, we propose the Representation-of-Thought (RoT) framework, which
leverages the robustness of low-dimensional representation spaces to enhance
the robustness of the reasoning process in CoTs. Experimental results
demonstrate that RoT improves the robustness and interpretability of CoT
reasoning while offering fine-grained control over the reasoning process.",http://arxiv.org/pdf/2410.03595v1
Training on more Reachable Tasks for Generalisation in Reinforcement Learning,"Max Weltevrede, Caroline Horsch, Matthijs T. J. Spaan, Wendelin Böhmer",2024-10-04,"In multi-task reinforcement learning, agents train on a fixed set of tasks
and have to generalise to new ones. Recent work has shown that increased
exploration improves this generalisation, but it remains unclear why exactly
that is. In this paper, we introduce the concept of reachability in multi-task
reinforcement learning and show that an initial exploration phase increases the
number of reachable tasks the agent is trained on. This, and not the increased
exploration, is responsible for the improved generalisation, even to
unreachable tasks. Inspired by this, we propose a novel method Explore-Go that
implements such an exploration phase at the beginning of each episode.
Explore-Go only modifies the way experience is collected and can be used with
most existing on-policy or off-policy reinforcement learning algorithms. We
demonstrate the effectiveness of our method when combined with some popular
algorithms and show an increase in generalisation performance across several
environments.",http://arxiv.org/pdf/2410.03565v1
færdXel: An Expert System for Danish Traffic Law,"Luís Cruz-Filipe, Jonas Vistrup",2024-10-04,"We present f{\ae}rdXel, a tool for symbolic reasoning in the domain of Danish
traffic law. f{\ae}rdXel combines techniques from logic programming with a
novel interface that allows users to navigate through its reasoning process,
thereby ensuring the system's trustworthiness. A preliminary empirical
evaluation indicates that this work is seen as very promising, and has the
potential to become a foundation for real-world AI tools supporting
professionals in the Danish legal sector.",http://arxiv.org/pdf/2410.03560v1
Ward: Provable RAG Dataset Inference via LLM Watermarks,"Nikola Jovanović, Robin Staab, Maximilian Baader, Martin Vechev",2024-10-04,"Retrieval-Augmented Generation (RAG) improves LLMs by enabling them to
incorporate external data during generation. This raises concerns for data
owners regarding unauthorized use of their content in RAG systems. Despite its
importance, the challenge of detecting such unauthorized usage remains
underexplored, with existing datasets and methodologies from adjacent fields
being ill-suited for its study. In this work, we take several steps to bridge
this gap. First, we formalize this problem as (black-box) RAG Dataset Inference
(RAG-DI). To facilitate research on this challenge, we further introduce a
novel dataset specifically designed for benchmarking RAG-DI methods under
realistic conditions, and propose a set of baseline approaches. Building on
this foundation, we introduce Ward, a RAG-DI method based on LLM watermarks
that enables data owners to obtain rigorous statistical guarantees regarding
the usage of their dataset in a RAG system. In our experimental evaluation, we
show that Ward consistently outperforms all baselines across many challenging
settings, achieving higher accuracy, superior query efficiency and robustness.
Our work provides a foundation for future studies of RAG-DI and highlights LLM
watermarks as a promising approach to this problem.",http://arxiv.org/pdf/2410.03537v1
A Probabilistic Perspective on Unlearning and Alignment for Large Language Models,"Yan Scholten, Stephan Günnemann, Leo Schwinn",2024-10-04,"Comprehensive evaluation of Large Language Models (LLMs) is an open research
problem. Existing evaluations rely on deterministic point estimates generated
via greedy decoding. However, we find that deterministic evaluations fail to
capture the whole output distribution of a model, yielding inaccurate
estimations of model capabilities. This is particularly problematic in critical
contexts such as unlearning and alignment, where precise model evaluations are
crucial. To remedy this, we introduce the first formal probabilistic evaluation
framework in LLMs. Namely, we derive novel metrics with high-probability
guarantees concerning the output distribution of a model. Our metrics are
application-independent and allow practitioners to make more reliable estimates
about model capabilities before deployment. Through a case study focused on
unlearning, we reveal that deterministic evaluations falsely indicate
successful unlearning, whereas our probabilistic evaluations demonstrate that
most if not all of the supposedly unlearned information remains accessible in
these models. Additionally, we propose a novel unlearning loss based on entropy
optimization and adaptive temperature scaling, which significantly improves
unlearning in probabilistic settings on recent benchmarks. Our proposed shift
from point estimates to probabilistic evaluations of output distributions
represents an important step toward comprehensive evaluations of LLMs.
https://github.com/yascho/probabilistic-unlearning",http://arxiv.org/pdf/2410.03523v1
