title,authors,published,summary,url
Dorami: Privilege Separating Security Monitor on RISC-V TEEs,"Mark Kuhne, Stavros Volos, Shweta Shinde",2024-10-04,"TEE implementations on RISC-V offer an enclave abstraction by introducing a
trusted component called the security monitor (SM). The SM performs critical
tasks such as isolating enclaves from each other as well as from the OS by
using privileged ISA instructions that enforce the physical memory protection.
However, the SM executes at the highest privilege layer on the platform
(machine-mode) along side firmware that is not only large in size but also
includes third-party vendor code specific to the platform. In this paper, we
present Dorami - a privilege separation approach that isolates the SM from the
firmware thus reducing the attack surface on TEEs. Dorami re-purposes existing
ISA features to enforce its isolation and achieves its goals without large
overheads.",http://arxiv.org/pdf/2410.03653v1
Ward: Provable RAG Dataset Inference via LLM Watermarks,"Nikola Jovanović, Robin Staab, Maximilian Baader, Martin Vechev",2024-10-04,"Retrieval-Augmented Generation (RAG) improves LLMs by enabling them to
incorporate external data during generation. This raises concerns for data
owners regarding unauthorized use of their content in RAG systems. Despite its
importance, the challenge of detecting such unauthorized usage remains
underexplored, with existing datasets and methodologies from adjacent fields
being ill-suited for its study. In this work, we take several steps to bridge
this gap. First, we formalize this problem as (black-box) RAG Dataset Inference
(RAG-DI). To facilitate research on this challenge, we further introduce a
novel dataset specifically designed for benchmarking RAG-DI methods under
realistic conditions, and propose a set of baseline approaches. Building on
this foundation, we introduce Ward, a RAG-DI method based on LLM watermarks
that enables data owners to obtain rigorous statistical guarantees regarding
the usage of their dataset in a RAG system. In our experimental evaluation, we
show that Ward consistently outperforms all baselines across many challenging
settings, achieving higher accuracy, superior query efficiency and robustness.
Our work provides a foundation for future studies of RAG-DI and highlights LLM
watermarks as a promising approach to this problem.",http://arxiv.org/pdf/2410.03537v1
Gradient-based Jailbreak Images for Multimodal Fusion Models,"Javier Rando, Hannah Korevaar, Erik Brinkman, Ivan Evtimov, Florian Tramèr",2024-10-04,"Augmenting language models with image inputs may enable more effective
jailbreak attacks through continuous optimization, unlike text inputs that
require discrete optimization. However, new multimodal fusion models tokenize
all input modalities using non-differentiable functions, which hinders
straightforward attacks. In this work, we introduce the notion of a tokenizer
shortcut that approximates tokenization with a continuous function and enables
continuous optimization. We use tokenizer shortcuts to create the first
end-to-end gradient image attacks against multimodal fusion models. We evaluate
our attacks on Chameleon models and obtain jailbreak images that elicit harmful
information for 72.5% of prompts. Jailbreak images outperform text jailbreaks
optimized with the same objective and require 3x lower compute budget to
optimize 50x more input tokens. Finally, we find that representation
engineering defenses, like Circuit Breakers, trained only on text attacks can
effectively transfer to adversarial image inputs.",http://arxiv.org/pdf/2410.03489v1
A New World in the Depths of Microcrypt: Separating OWSGs and Quantum Money from QEFID,"Amit Behera, Giulio Malavolta, Tomoyuki Morimae, Tamer Mour, Takashi Yamakawa",2024-10-04,"While in classical cryptography, one-way functions (OWFs) are widely regarded
as the ""minimal assumption,"" the situation in quantum cryptography is less
clear. Recent works have put forward two concurrent candidates for the minimal
assumption in quantum cryptography: One-way state generators (OWSGs),
postulating the existence of a hard search problem with an efficient
verification algorithm, and EFI pairs, postulating the existence of a hard
distinguishing problem. Two recent papers [Khurana and Tomer STOC'24; Batra and
Jain FOCS'24] showed that OWSGs imply EFI pairs, but the reverse direction
remained open. In this work, we give strong evidence that the opposite
direction does not hold: We show that there is a quantum unitary oracle
relative to which EFI pairs exist, but OWSGs do not. In fact, we show a
slightly stronger statement that holds also for EFI pairs that output classical
bits (QEFID). As a consequence, we separate, via our oracle, QEFID, and one-way
puzzles from OWSGs and several other Microcrypt primitives, including
efficiently verifiable one-way puzzles and unclonable state generators. In
particular, this solves a problem left open in [Chung, Goldin, and Gray
Crypto'24]. Using similar techniques, we also establish a fully black-box
separation (which is slightly weaker than an oracle separation) between
private-key quantum money schemes and QEFID pairs. One conceptual implication
of our work is that the existence of an efficient verification algorithm may
lead to qualitatively stronger primitives in quantum cryptography.",http://arxiv.org/pdf/2410.03453v1
A Simple Framework for Secure Key Leasing,"Fuyuki Kitagawa, Tomoyuki Morimae, Takashi Yamakawa",2024-10-04,"Secure key leasing (a.k.a. key-revocable cryptography) enables us to lease a
cryptographic key as a quantum state in such a way that the key can be later
revoked in a verifiable manner. We propose a simple framework for constructing
cryptographic primitives with secure key leasing via the certified deletion
property of BB84 states. Based on our framework, we obtain the following
schemes.
  - A public key encryption scheme with secure key leasing that has classical
revocation based on any IND-CPA secure public key encryption scheme. Prior
works rely on either quantum revocation or stronger assumptions such as the
quantum hardness of the learning with errors (LWE) problem.
  - A pseudorandom function with secure key leasing that has classical
revocation based on one-way functions. Prior works rely on stronger assumptions
such as the quantum hardness of the LWE problem.
  - A digital signature scheme with secure key leasing that has classical
revocation based on the quantum hardness of the short integer solution (SIS)
problem. Our construction has static signing keys, i.e., the state of a signing
key almost does not change before and after signing. Prior constructions either
rely on non-static signing keys or indistinguishability obfuscation to achieve
a stronger goal of copy-protection.
  In addition, all of our schemes remain secure even if a verification key for
revocation is leaked after the adversary submits a valid certificate of
deletion. To our knowledge, all prior constructions are totally broken in this
setting. Moreover, in our view, our security proofs are much simpler than those
for existing schemes.",http://arxiv.org/pdf/2410.03413v1
Camel: Communication-Efficient and Maliciously Secure Federated Learning in the Shuffle Model of Differential Privacy,"Shuangqing Xu, Yifeng Zheng, Zhongyun Hua",2024-10-04,"Federated learning (FL) has rapidly become a compelling paradigm that enables
multiple clients to jointly train a model by sharing only gradient updates for
aggregation, without revealing their local private data. In order to protect
the gradient updates which could also be privacy-sensitive, there has been a
line of work studying local differential privacy (LDP) mechanisms to provide a
formal privacy guarantee. With LDP mechanisms, clients locally perturb their
gradient updates before sharing them out for aggregation. However, such
approaches are known for greatly degrading the model utility, due to heavy
noise addition. To enable a better privacy-utility tradeoff, a recently
emerging trend is to apply the shuffle model of DP in FL, which relies on an
intermediate shuffling operation on the perturbed gradient updates to achieve
privacy amplification. Following this trend, in this paper, we present Camel, a
new communication-efficient and maliciously secure FL framework in the shuffle
model of DP. Camel first departs from existing works by ambitiously supporting
integrity check for the shuffle computation, achieving security against
malicious adversary. Specifically, Camel builds on the trending cryptographic
primitive of secret-shared shuffle, with custom techniques we develop for
optimizing system-wide communication efficiency, and for lightweight integrity
checks to harden the security of server-side computation. In addition, we also
derive a significantly tighter bound on the privacy loss through analyzing the
Renyi differential privacy (RDP) of the overall FL process. Extensive
experiments demonstrate that Camel achieves better privacy-utility trade-offs
than the state-of-the-art work, with promising performance.",http://arxiv.org/pdf/2410.03407v1
Oracle Separation Between Quantum Commitments and Quantum One-wayness,"John Bostanci, Boyang Chen, Barak Nehoran",2024-10-04,"We show that there exists a unitary quantum oracle relative to which quantum
commitments exist but no (efficiently verifiable) one-way state generators
exist. Both have been widely considered candidates for replacing one-way
functions as the minimal assumption for cryptography: the weakest cryptographic
assumption implied by all of computational cryptography. Recent work has shown
that commitments can be constructed from one-way state generators, but the
other direction has remained open. Our results rule out any black-box
construction, and thus settle this crucial open problem, suggesting that
quantum commitments (as well as its equivalency class of EFI pairs, quantum
oblivious transfer, and secure quantum multiparty computation) appear to be
strictly weakest among all known cryptographic primitives.",http://arxiv.org/pdf/2410.03358v1
Practical Light Clients for Committee-Based Blockchains,"Frederik Armknecht, Ghassan Karame, Malcom Mohamed, Christiane Weis",2024-10-04,"Light clients are gaining increasing attention in the literature since they
obviate the need for users to set up dedicated blockchain full nodes. While the
literature features a number of light client instantiations, most light client
protocols optimize for long offline phases and implicitly assume that the block
headers to be verified are signed by highly dynamic validators.
  In this paper, we show that (i) most light clients are rarely offline for
more than a week, and (ii) validators are unlikely to drastically change in
most permissioned blockchains and in a number of permissionless blockchains,
such as Cosmos and Polkadot. Motivated by these findings, we propose a novel
practical system that optimizes for such realistic assumptions and achieves
minimal communication and computational costs for light clients when compared
to existing protocols. By means of a prototype implementation of our solution,
we show that our protocol achieves a reduction by up to $90$ and $40000\times$
(respectively) in end-to-end latency and up to $1000$ and $10000\times$
(respectively) smaller proof size when compared to two state-of-the-art light
client instantiations from the literature.",http://arxiv.org/pdf/2410.03347v1
AutoPenBench: Benchmarking Generative Agents for Penetration Testing,"Luca Gioacchini, Marco Mellia, Idilio Drago, Alexander Delsanto, Giuseppe Siracusano, Roberto Bifulco",2024-10-04,"Generative AI agents, software systems powered by Large Language Models
(LLMs), are emerging as a promising approach to automate cybersecurity tasks.
Among the others, penetration testing is a challenging field due to the task
complexity and the diverse strategies to simulate cyber-attacks. Despite
growing interest and initial studies in automating penetration testing with
generative agents, there remains a significant gap in the form of a
comprehensive and standard framework for their evaluation and development. This
paper introduces AutoPenBench, an open benchmark for evaluating generative
agents in automated penetration testing. We present a comprehensive framework
that includes 33 tasks, each representing a vulnerable system that the agent
has to attack. Tasks are of increasing difficulty levels, including in-vitro
and real-world scenarios. We assess the agent performance with generic and
specific milestones that allow us to compare results in a standardised manner
and understand the limits of the agent under test. We show the benefits of
AutoPenBench by testing two agent architectures: a fully autonomous and a
semi-autonomous supporting human interaction. We compare their performance and
limitations. For example, the fully autonomous agent performs unsatisfactorily
achieving a 21% Success Rate (SR) across the benchmark, solving 27% of the
simple tasks and only one real-world task. In contrast, the assisted agent
demonstrates substantial improvements, with 64% of SR. AutoPenBench allows us
also to observe how different LLMs like GPT-4o or OpenAI o1 impact the ability
of the agents to complete the tasks. We believe that our benchmark fills the
gap with a standard and flexible framework to compare penetration testing
agents on a common ground. We hope to extend AutoPenBench along with the
research community by making it available under
https://github.com/lucagioacchini/auto-pen-bench.",http://arxiv.org/pdf/2410.03225v1
An Intelligent Quantum Cyber-Security Framework for Healthcare Data Management,"Kishu Gupta, Deepika Saxena, Pooja Rani, Jitendra Kumar, Aaisha Makkar, Ashutosh Kumar Singh, Chung-Nan Lee",2024-10-04,"Digital healthcare is essential to facilitate consumers to access and
disseminate their medical data easily for enhanced medical care services.
However, the significant concern with digitalization across healthcare systems
necessitates for a prompt, productive, and secure storage facility along with a
vigorous communication strategy, to stimulate sensitive digital healthcare data
sharing and proactive estimation of malicious entities. In this context, this
paper introduces a comprehensive quantum-based framework to overwhelm the
potential security and privacy issues for secure healthcare data management. It
equips quantum encryption for the secured storage and dispersal of healthcare
data over the shared cloud platform by employing quantum encryption. Also, the
framework furnishes a quantum feed-forward neural network unit to examine the
intention behind the data request before granting access, for proactive
estimation of potential data breach. In this way, the proposed framework
delivers overall healthcare data management by coupling the advanced and more
competent quantum approach with machine learning to safeguard the data storage,
access, and prediction of malicious entities in an automated manner. Thus, the
proposed IQ-HDM leads to more cooperative and effective healthcare delivery and
empowers individuals with adequate custody of their health data. The
experimental evaluation and comparison of the proposed IQ-HDM framework with
state-of-the-art methods outline a considerable improvement up to 67.6%, in
tackling cyber threats related to healthcare data security.",http://arxiv.org/pdf/2410.03217v1
